id,page_number,is_premium,title,problem_description,topic_tags,difficulty,similar_questions,no_similar_questions,acceptance,accepted,submission,solution,discussion_count,likes,dislikes,problem_URL,solution_URL
11,1,False,11. Container With Most Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).
Find two lines that together with the x-axis form a container, such that the container contains the most water.
Return the maximum amount of water a container can store.
Notice that you may not slant the container.
 
Example 1:

Input: height = [1,8,6,2,5,4,8,3,7]
Output: 49
Explanation: The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.

Example 2:
Input: height = [1,1]
Output: 1

 
Constraints:

n == height.length
2 <= n <= 105
0 <= height[i] <= 104

","'Array', 'Two Pointers', 'Greedy'",Medium,"[""'Trapping Rain Water'"", ""'Maximum Tastiness of Candy Basket'"", ""'House Robber IV'""]",3.0,54.3,2500000,4500000,9800,171,27100,1500,https://leetcode.com/problems/container-with-most-water,https://leetcode.com/problems/container-with-most-water/solution
12,1,False,12. Integer to Roman,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.
Symbol       Value
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II.
Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:

I can be placed before V (5) and X (10) to make 4 and 9. 
X can be placed before L (50) and C (100) to make 40 and 90. 
C can be placed before D (500) and M (1000) to make 400 and 900.

Given an integer, convert it to a roman numeral.
 
Example 1:
Input: num = 3
Output: ""III""
Explanation: 3 is represented as 3 ones.

Example 2:
Input: num = 58
Output: ""LVIII""
Explanation: L = 50, V = 5, III = 3.

Example 3:
Input: num = 1994
Output: ""MCMXCIV""
Explanation: M = 1000, CM = 900, XC = 90 and IV = 4.

 
Constraints:

1 <= num <= 3999

","'Hash Table', 'Math', 'String'",Medium,"[""'Roman to Integer'"", ""'Integer to English Words'""]",2.0,63.3,1100000,1800000,7000,39,6500,5400,https://leetcode.com/problems/integer-to-roman,https://leetcode.com/problems/integer-to-roman/solution
13,1,False,13. Roman to Integer,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.
Symbol       Value
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
For example, 2 is written as II in Roman numeral, just two ones added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II.
Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:

I can be placed before V (5) and X (10) to make 4 and 9. 
X can be placed before L (50) and C (100) to make 40 and 90. 
C can be placed before D (500) and M (1000) to make 400 and 900.

Given a roman numeral, convert it to an integer.
 
Example 1:
Input: s = ""III""
Output: 3
Explanation: III = 3.

Example 2:
Input: s = ""LVIII""
Output: 58
Explanation: L = 50, V= 5, III = 3.

Example 3:
Input: s = ""MCMXCIV""
Output: 1994
Explanation: M = 1000, CM = 900, XC = 90 and IV = 4.

 
Constraints:

1 <= s.length <= 15
s contains only the characters ('I', 'V', 'X', 'L', 'C', 'D', 'M').
It is guaranteed that s is a valid roman numeral in the range [1, 3999].

","'Hash Table', 'Math', 'String'",Easy,"[""'Integer to Roman'""]",1.0,59.7,3100000,5200000,18300,217,12700,749,https://leetcode.com/problems/roman-to-integer,https://leetcode.com/problems/roman-to-integer/solution
14,1,False,14. Longest Common Prefix,"Write a function to find the longest common prefix string amongst an array of strings.
If there is no common prefix, return an empty string """".
 
Example 1:
Input: strs = [""flower"",""flow"",""flight""]
Output: ""fl""

Example 2:
Input: strs = [""dog"",""racecar"",""car""]
Output: """"
Explanation: There is no common prefix among the input strings.

 
Constraints:

1 <= strs.length <= 200
0 <= strs[i].length <= 200
strs[i] consists of only lowercase English letters.

","'String', 'Trie'",Easy,[''],0.0,41.7,2800000,6700000,14300,179,16200,4300,https://leetcode.com/problems/longest-common-prefix,https://leetcode.com/problems/longest-common-prefix/solution
15,1,False,15. 3Sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.
Notice that the solution set must not contain duplicate triplets.
 
Example 1:
Input: nums = [-1,0,1,2,-1,-4]
Output: [[-1,-1,2],[-1,0,1]]
Explanation: 
nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0.
nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0.
nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0.
The distinct triplets are [-1,0,1] and [-1,-1,2].
Notice that the order of the output and the order of the triplets does not matter.

Example 2:
Input: nums = [0,1,1]
Output: []
Explanation: The only possible triplet does not sum up to 0.

Example 3:
Input: nums = [0,0,0]
Output: [[0,0,0]]
Explanation: The only possible triplet sums up to 0.

 
Constraints:

3 <= nums.length <= 3000
-105 <= nums[i] <= 105

","'Array', 'Two Pointers', 'Sorting'",Medium,"[""'Two Sum'"", ""'3Sum Closest'"", ""'4Sum'"", ""'3Sum Smaller'"", ""'Number of Arithmetic Triplets'"", ""'Minimum Sum of Mountain Triplets I'"", ""'Minimum Sum of Mountain Triplets II'""]",7.0,33.5,3000000,9100000,8400,275,29000,2600,https://leetcode.com/problems/3sum,https://leetcode.com/problems/3sum/solution
16,1,False,16. 3Sum Closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target.
Return the sum of the three integers.
You may assume that each input would have exactly one solution.
 
Example 1:
Input: nums = [-1,2,1,-4], target = 1
Output: 2
Explanation: The sum that is closest to the target is 2. (-1 + 2 + 1 = 2).

Example 2:
Input: nums = [0,0,0], target = 1
Output: 0
Explanation: The sum that is closest to the target is 0. (0 + 0 + 0 = 0).

 
Constraints:

3 <= nums.length <= 500
-1000 <= nums[i] <= 1000
-104 <= target <= 104

","'Array', 'Two Pointers', 'Sorting'",Medium,"[""'3Sum'"", ""'3Sum Smaller'""]",2.0,45.5,1100000,2400000,4200,57,9900,519,https://leetcode.com/problems/3sum-closest,https://leetcode.com/problems/3sum-closest/solution
17,1,False,17. Letter Combinations of a Phone Number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order.
A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.

 
Example 1:
Input: digits = ""23""
Output: [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]

Example 2:
Input: digits = """"
Output: []

Example 3:
Input: digits = ""2""
Output: [""a"",""b"",""c""]

 
Constraints:

0 <= digits.length <= 4
digits[i] is a digit in the range ['2', '9'].

","'Hash Table', 'String', 'Backtracking'",Medium,"[""'Generate Parentheses'"", ""'Combination Sum'"", ""'Binary Watch'"", ""'Count Number of Texts'""]",4.0,58.9,1800000,3000000,11900,115,17400,909,https://leetcode.com/problems/letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/solution
18,1,False,18. 4Sum,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:

0 <= a, b, c, d < n
a, b, c, and d are distinct.
nums[a] + nums[b] + nums[c] + nums[d] == target

You may return the answer in any order.
 
Example 1:
Input: nums = [1,0,-1,0,-2,2], target = 0
Output: [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]

Example 2:
Input: nums = [2,2,2,2,2], target = 8
Output: [[2,2,2,2]]

 
Constraints:

1 <= nums.length <= 200
-109 <= nums[i] <= 109
-109 <= target <= 109

","'Array', 'Two Pointers', 'Sorting'",Medium,"[""'Two Sum'"", ""'3Sum'"", ""'4Sum II'"", ""'Count Special Quadruplets'""]",4.0,35.8,835400,2300000,4000,109,10600,1300,https://leetcode.com/problems/4sum,https://leetcode.com/problems/4sum/solution
19,1,False,19. Remove Nth Node From End of List,"Given the head of a linked list, remove the nth node from the end of the list and return its head.
 
Example 1:

Input: head = [1,2,3,4,5], n = 2
Output: [1,2,3,5]

Example 2:
Input: head = [1], n = 1
Output: []

Example 3:
Input: head = [1,2], n = 1
Output: [1]

 
Constraints:

The number of nodes in the list is sz.
1 <= sz <= 30
0 <= Node.val <= 100
1 <= n <= sz

 
Follow up: Could you do this in one pass?
","'Linked List', 'Two Pointers'",Medium,"[""'Swapping Nodes in a Linked List'"", ""'Delete N Nodes After M Nodes of a Linked List'"", ""'Delete the Middle Node of a Linked List'""]",3.0,42.9,2300000,5300000,13800,114,17400,724,https://leetcode.com/problems/remove-nth-node-from-end-of-list,https://leetcode.com/problems/remove-nth-node-from-end-of-list/solution
20,1,False,20. Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.
An input string is valid if:

Open brackets must be closed by the same type of brackets.
Open brackets must be closed in the correct order.
Every close bracket has a corresponding open bracket of the same type.

 
Example 1:
Input: s = ""()""
Output: true

Example 2:
Input: s = ""()[]{}""
Output: true

Example 3:
Input: s = ""(]""
Output: false

 
Constraints:

1 <= s.length <= 104
s consists of parentheses only '()[]{}'.

","'String', 'Stack'",Easy,"[""'Generate Parentheses'"", ""'Longest Valid Parentheses'"", ""'Remove Invalid Parentheses'"", ""'Check If Word Is Valid After Substitutions'"", ""'Check if a Parentheses String Can Be Valid'"", ""'Move Pieces to Obtain a String'""]",6.0,40.2,3900000,9800000,19100,260,22500,1500,https://leetcode.com/problems/valid-parentheses,https://leetcode.com/problems/valid-parentheses/solution
21,1,False,21. Merge Two Sorted Lists,"You are given the heads of two sorted linked lists list1 and list2.
Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.
Return the head of the merged linked list.
 
Example 1:

Input: list1 = [1,2,4], list2 = [1,3,4]
Output: [1,1,2,3,4,4]

Example 2:
Input: list1 = [], list2 = []
Output: []

Example 3:
Input: list1 = [], list2 = [0]
Output: [0]

 
Constraints:

The number of nodes in both lists is in the range [0, 50].
-100 <= Node.val <= 100
Both list1 and list2 are sorted in non-decreasing order.

","'Linked List', 'Recursion'",Easy,"[""'Merge k Sorted Lists'"", ""'Merge Sorted Array'"", ""'Sort List'"", ""'Shortest Word Distance II'"", ""'Add Two Polynomials Represented as Linked Lists'"", ""'Longest Common Subsequence Between Sorted Arrays'"", ""'Merge Two 2D Arrays by Summing Values'""]",7.0,63.3,3600000,5800000,13600,196,20400,1900,https://leetcode.com/problems/merge-two-sorted-lists,https://leetcode.com/problems/merge-two-sorted-lists/solution
22,1,False,22. Generate Parentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.
 
Example 1:
Input: n = 3
Output: [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]
Example 2:
Input: n = 1
Output: [""()""]

 
Constraints:

1 <= n <= 8

","'String', 'Dynamic Programming', 'Backtracking'",Medium,"[""'Letter Combinations of a Phone Number'"", ""'Valid Parentheses'"", ""'Check if a Parentheses String Can Be Valid'""]",3.0,73.6,1600000,2200000,8200,62,19900,824,https://leetcode.com/problems/generate-parentheses,https://leetcode.com/problems/generate-parentheses/solution
23,1,False,23. Merge k Sorted Lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.
Merge all the linked-lists into one sorted linked-list and return it.
 
Example 1:
Input: lists = [[1,4,5],[1,3,4],[2,6]]
Output: [1,1,2,3,4,4,5,6]
Explanation: The linked-lists are:
[
  1->4->5,
  1->3->4,
  2->6
]
merging them into one sorted list:
1->1->2->3->4->4->5->6

Example 2:
Input: lists = []
Output: []

Example 3:
Input: lists = [[]]
Output: []

 
Constraints:

k == lists.length
0 <= k <= 104
0 <= lists[i].length <= 500
-104 <= lists[i][j] <= 104
lists[i] is sorted in ascending order.
The sum of lists[i].length will not exceed 104.

","'Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort'",Hard,"[""'Merge Two Sorted Lists'"", ""'Ugly Number II'"", ""'Smallest Subarrays With Maximum Bitwise OR'""]",3.0,51.2,1800000,3500000,9400,107,18500,669,https://leetcode.com/problems/merge-k-sorted-lists,https://leetcode.com/problems/merge-k-sorted-lists/solution
24,1,False,24. Swap Nodes in Pairs,"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.)
 
Example 1:

Input: head = [1,2,3,4]
Output: [2,1,4,3]

Example 2:
Input: head = []
Output: []

Example 3:
Input: head = [1]
Output: [1]

 
Constraints:

The number of nodes in the list is in the range [0, 100].
0 <= Node.val <= 100

","'Linked List', 'Recursion'",Medium,"[""'Reverse Nodes in k-Group'"", ""'Swapping Nodes in a Linked List'""]",2.0,63.3,1200000,2000000,10100,60,11400,415,https://leetcode.com/problems/swap-nodes-in-pairs,https://leetcode.com/problems/swap-nodes-in-pairs/solution
25,1,False,25. Reverse Nodes in k-Group,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list.
k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is.
You may not alter the values in the list's nodes, only nodes themselves may be changed.
 
Example 1:

Input: head = [1,2,3,4,5], k = 2
Output: [2,1,4,3,5]

Example 2:

Input: head = [1,2,3,4,5], k = 3
Output: [3,2,1,4,5]

 
Constraints:

The number of nodes in the list is n.
1 <= k <= n <= 5000
0 <= Node.val <= 1000

 
Follow-up: Can you solve the problem in O(1) extra memory space?
","'Linked List', 'Recursion'",Hard,"[""'Swap Nodes in Pairs'"", ""'Swapping Nodes in a Linked List'"", ""'Reverse Nodes in Even Length Groups'""]",3.0,56.9,797100,1400000,6800,69,12800,627,https://leetcode.com/problems/reverse-nodes-in-k-group,https://leetcode.com/problems/reverse-nodes-in-k-group/solution
26,1,False,26. Remove Duplicates from Sorted Array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums.
Consider the number of unique elements of nums to be k, to get accepted, you need to do the following things:

Change the array nums such that the first k elements of nums contain the unique elements in the order they were present in nums initially. The remaining elements of nums are not important as well as the size of nums.
Return k.

Custom Judge:
The judge will test your solution with the following code:
int[] nums = [...]; // Input array
int[] expectedNums = [...]; // The expected answer with correct length

int k = removeDuplicates(nums); // Calls your implementation

assert k == expectedNums.length;
for (int i = 0; i < k; i++) {
    assert nums[i] == expectedNums[i];
}

If all assertions pass, then your solution will be accepted.
 
Example 1:
Input: nums = [1,1,2]
Output: 2, nums = [1,2,_]
Explanation: Your function should return k = 2, with the first two elements of nums being 1 and 2 respectively.
It does not matter what you leave beyond the returned k (hence they are underscores).

Example 2:
Input: nums = [0,0,1,1,1,2,2,3,3,4]
Output: 5, nums = [0,1,2,3,4,_,_,_,_,_]
Explanation: Your function should return k = 5, with the first five elements of nums being 0, 1, 2, 3, and 4 respectively.
It does not matter what you leave beyond the returned k (hence they are underscores).

 
Constraints:

1 <= nums.length <= 3 * 104
-100 <= nums[i] <= 100
nums is sorted in non-decreasing order.

","'Array', 'Two Pointers'",Easy,"[""'Remove Element'"", ""'Remove Duplicates from Sorted Array II'"", ""'Apply Operations to an Array'"", ""'Sum of Distances'""]",4.0,53.5,3600000,6700000,15600,360,13000,17200,https://leetcode.com/problems/remove-duplicates-from-sorted-array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solution
